	raw_read_count	postmerge_read_count	reads_screened_for_barcodes	reads_with_likely_barcodes	barcodes_post-agglomeration	non-singelton_barcodes_post-agglomeration	
EXP1_MC2_P01_CS01	2125	2040	2032	1967	1937	1870
EXP1_MC2_P01_CS02	142187	141710	141169	138061	137867	137530
EXP1_MC2_P01_CS03	5152	5094	5067	4944	4885	4653
EXP1_MC2_P01_CS04	8241	8109	8070	7818	7714	7495
EXP1_MC2_P01_CS05	7143	7057	7029	6828	6746	6575
EXP1_MC2_P01_CS06	1244	1187	1185	1152	1116	997
EXP1_MC2_P01_CS07	7107	6981	6947	6730	6688	6640
EXP1_MC2_P01_CS08	1218369	1213035	1206563	1173391	1171647	1171417
EXP1_MC2_P01_CS09	310435	306833	305768	296936	296517	296164
EXP1_MC2_P01_CS10	105472	104515	104129	101600	101489	101429
EXP1_MC2_P01_CS11	869	850	848	820	793	667
EXP1_MC2_P01_CS12	177835	176809	176091	171831	171626	171463
EXP1_MC2_P01_CS13	589812	587268	584908	568093	566874	566623
EXP1_MC2_P01_CS14	48630	48354	48157	46848	46355	46038
EXP1_MC2_P01_CS15	27000	26715	26606	25732	25152	24968
EXP1_MC2_P01_CS16	21490	21269	21188	20510	19789	19578
EXP1_MC2_P01_CS17	530163	523224	520995	503782	501993	501776
EXP1_MC2_P01_CS18	13430	13249	13202	12744	12164	12013
EXP1_MC2_P01_CS19	54228	53766	53481	51888	51191	51117
EXP1_MC2_P01_CS20	319666	317591	316192	307224	305992	305750
EXP1_MC2_P01_CS21	961338	942279	938371	909391	906676	906398
EXP1_MC2_P01_CS22	111582	108958	108530	105762	104738	104554
EXP1_MC2_P01_CS23	80907	80275	79951	77714	76813	76508
EXP1_MC2_P01_CS24	34451	34165	34019	33060	32573	32432
EXP1_MC2_P01_CS25	72753	72344	72099	70372	70226	70056
EXP1_MC2_P01_CS26	412057	410192	408806	398770	398224	397622
EXP1_MC2_P01_CS27	448871	446782	444750	433949	433460	433036
EXP1_MC2_P01_CS28	84005	83137	82830	80492	79954	79669
EXP1_MC2_P01_CS29	109266	107810	107413	104368	103644	103336
EXP1_MC2_P01_CS30	421713	419827	418417	408752	408374	407967
EXP1_MC2_P01_CS31	138690	137815	137254	133832	133481	133349
EXP1_MC2_P01_CS32	273218	271079	269447	261465	260647	260478
EXP1_MC2_P01_CS33	337347	332245	331185	319469	318405	318181
EXP1_MC2_P04_CS01	1176	1157	1153	1128	1116	1063
EXP1_MC2_P04_CS02	894	874	869	840	798	604
EXP1_MC2_P04_CS03	2066	2017	2010	1960	1928	1799
EXP1_MC2_P04_CS04	1256	1117	1114	1082	1068	1015
EXP1_MC2_P04_CS05	2133	2117	2112	2063	2039	1894
EXP1_MC2_P04_CS06	1379	1326	1323	1255	1193	996
EXP1_MC2_P04_CS07	566037	564071	562274	549887	549296	548764
EXP1_MC2_P04_CS08	543066	540289	538307	525677	525108	524633
EXP1_MC2_P04_CS09	19014	18895	18843	18379	18313	18182
EXP1_MC2_P04_CS10	33235	33033	32892	32193	32151	32091
EXP1_MC2_P04_CS11	30678	30393	30287	29245	29142	29056
EXP1_MC2_P04_CS12	47679	47204	47080	45872	45738	45503
EXP1_MC2_P04_CS13	1818306	1807334	1801002	1758574	1757480	1757213
EXP1_MC2_P04_CS14	594322	591242	589331	576049	575468	574965
EXP1_MC2_P04_CS15	11191	11135	11098	10769	10745	10661
EXP1_MC2_P04_CS16	63753	63390	63190	61625	61533	61425
EXP1_MC2_P04_CS17	1145152	1130403	1126751	1090641	1087949	1087911
EXP1_MC2_P04_CS18	65951	65539	65342	63550	63320	63059
EXP1_MC2_P04_CS19	15595	15509	15449	14677	14576	14371
EXP1_MC2_P04_CS20	650265	647571	645422	626614	625325	624687
EXP1_MC2_P04_CS21	1528045	1519268	1514262	1478734	1476357	1476069
EXP1_MC2_P04_CS22	1908957	1900890	1893229	1850604	1849636	1849403
EXP1_MC2_P04_CS23	8382	8320	8291	8086	8044	7979
EXP1_MC2_P04_CS24	113446	112185	111812	108350	107653	107385
EXP1_MC2_P04_CS25	37007	36691	36585	35666	35364	35259
EXP1_MC2_P04_CS26	333611	331490	330380	320008	318822	318469
EXP1_MC2_P04_CS27	1089594	1084409	1080929	1048537	1046870	1046527
EXP1_MC2_P04_CS28	948753	943730	940645	913177	911913	911618
EXP1_MC2_P04_CS29	14210	14117	14063	13752	13680	13477
EXP1_MC2_P04_CS30	1923838	1909386	1903207	1835214	1832331	1832230
EXP1_MC2_P04_CS31	1545589	1530616	1525280	1476146	1473378	1473300
EXP1_MC2_P04_CS32	425338	420995	419630	406681	405354	404975
EXP1_MC2_P04_CS33	950226	940341	937510	911033	909193	908904
EXP1_MC3_P02_CS01	1111	1020	1015	988	984	936
EXP1_MC3_P02_CS02	601	565	564	550	539	498
EXP1_MC3_P02_CS03	1532	1371	1364	1333	1244	1002
EXP1_MC3_P02_CS04	1209	1168	1166	1131	1118	1092
EXP1_MC3_P02_CS05	438	429	425	406	377	281
EXP1_MC3_P02_CS06	766	733	730	712	698	634
EXP1_MC3_P02_CS07	458	397	396	353	345	312
EXP1_MC3_P02_CS08	2112	2090	2081	2016	2003	1912
EXP1_MC3_P02_CS09	648	611	610	595	562	424
EXP1_MC3_P02_CS10	1870	1835	1825	1755	1728	1629
EXP1_MC3_P02_CS11	205	194	193	190	181	138
EXP1_MC3_P02_CS12	551	535	532	519	500	446
EXP1_MC3_P02_CS13	17410	17239	17126	16712	16677	16637
EXP1_MC3_P02_CS14	397937	395622	394012	379170	378191	377839
EXP1_MC3_P02_CS15	3684	3591	3583	3485	3362	3075
EXP1_MC3_P02_CS16	1426	1342	1339	1283	1259	1235
EXP1_MC3_P02_CS17	720912	707691	705000	680693	678224	678100
EXP1_MC3_P02_CS18	822	781	780	738	707	664
EXP1_MC3_P02_CS19	287724	286484	285824	279006	278773	278637
EXP1_MC3_P02_CS20	43081	42811	42697	41760	41674	41468
EXP1_MC3_P02_CS21	507458	505458	504016	492312	491614	491109
EXP1_MC3_P02_CS22	10644	10550	10524	10273	10197	9913
EXP1_MC3_P02_CS23	4426	4398	4385	4252	4236	4112
EXP1_MC3_P02_CS24	1884	1831	1823	1769	1714	1588
EXP1_MC3_P02_CS25	3697	3572	3557	3459	3442	3397
EXP1_MC3_P02_CS26	30556	30335	30241	26623	26557	26459
EXP1_MC3_P02_CS27	29065	28666	28599	27332	27066	26834
EXP1_MC3_P02_CS28	1619	1532	1529	1488	1474	1434
EXP1_MC3_P02_CS29	4708	3741	3726	3624	3562	3456
EXP1_MC3_P02_CS30	10066	7996	7972	7651	7568	7316
EXP1_MC3_P02_CS31	3765	3236	3216	3111	3091	3056
EXP1_MC3_P02_CS32	139874	137133	136593	132489	132030	131831
EXP1_MC3_P02_CS33	68451	67186	66927	63849	63358	63200
EXP1_MC3_P05_CS01	10297	9075	9050	8809	8734	8665
EXP1_MC3_P05_CS02	23898	20014	19931	19310	19144	18834
EXP1_MC3_P05_CS03	4850	4290	4273	3970	3827	3470
EXP1_MC3_P05_CS04	136046	131863	131167	126810	126141	125853
EXP1_MC3_P05_CS05	1637	1486	1475	1441	1341	1038
EXP1_MC3_P05_CS06	64971	64603	64265	62755	62718	62696
EXP1_MC3_P05_CS07	1556	1376	1372	1327	1314	1295
EXP1_MC3_P05_CS08	100940	99128	98702	94834	94336	94239
EXP1_MC3_P05_CS09	296874	292096	290860	282077	280763	280524
EXP1_MC3_P05_CS10	59779	58981	58694	56568	55635	55585
EXP1_MC3_P05_CS11	180895	177345	176553	170530	170208	170057
EXP1_MC3_P05_CS12	411273	409160	407457	397197	396384	396146
EXP1_MC3_P05_CS13	1534410	1521273	1514786	1455545	1453701	1453444
EXP1_MC3_P05_CS14	1004813	990556	986215	950613	947340	946889
EXP1_MC3_P05_CS15	131274	129406	128942	124603	123774	123517
EXP1_MC3_P05_CS16	516883	511121	508342	488386	487479	487166
EXP1_MC3_P05_CS17	1894879	1866604	1858509	1795577	1792125	1792048
EXP1_MC3_P05_CS18	178420	177527	176625	172004	171374	171307
EXP1_MC3_P05_CS19	38289	37624	37490	36135	35426	35366
EXP1_MC3_P05_CS20	1373987	1251473	1246357	1208779	1207848	1207519
EXP1_MC3_P05_CS21	835763	828992	825808	798590	794531	794079
EXP1_MC3_P05_CS22	1613110	1605997	1597933	1556521	1555391	1555181
EXP1_MC3_P05_CS23	1225261	1219930	1215515	1187507	1186494	1186266
EXP1_MC3_P05_CS24	2598	2298	2290	2223	2172	1875
EXP1_MC3_P05_CS25	4730	4408	4400	4256	4167	4068
EXP1_MC3_P05_CS26	231277	224771	223908	217457	216950	216634
EXP1_MC3_P05_CS27	277648	273449	272515	263101	262299	261840
EXP1_MC3_P05_CS28	552899	546336	543580	526690	526012	525668
EXP1_MC3_P05_CS29	2003	1919	1914	1853	1737	1285
EXP1_MC3_P05_CS30	2066	1990	1982	1937	1931	1918
EXP1_MC3_P05_CS31	2165	2096	2088	2028	2012	1981
EXP1_MC3_P05_CS32	61377	59597	59411	57292	56972	56859
EXP1_MC3_P05_CS33	367170	365191	363836	354661	354341	353956
EXP1_MC4_P03_CS02	1102	1026	1022	991	987	958
EXP1_MC4_P03_CS03	2765	2175	2162	2122	2093	1992
EXP1_MC4_P03_CS05	1078	871	866	846	811	615
EXP1_MC4_P03_CS06	2177	2084	2073	2013	1956	1885
EXP1_MC4_P03_CS07	13504	9593	9564	9123	9022	8731
EXP1_MC4_P03_CS08	2645	2377	2371	2290	2146	1754
EXP1_MC4_P03_CS09	12408	11119	11059	10770	10669	10383
EXP1_MC4_P03_CS10	728	681	681	659	608	363
EXP1_MC4_P03_CS11	748	746	744	731	731	723
EXP1_MC4_P03_CS12	740	711	708	694	687	668
EXP1_MC4_P03_CS13	6339	6083	6061	5896	5808	5530
EXP1_MC4_P03_CS14	12365	10486	10452	10029	9961	9706
EXP1_MC4_P03_CS15	5861	5615	5599	5391	5097	4591
EXP1_MC4_P03_CS16	203426	202011	201342	196110	196003	195777
EXP1_MC4_P03_CS17	733529	721937	719515	695268	693613	693421
EXP1_MC4_P03_CS18	6723	6392	6367	6140	6021	5802
EXP1_MC4_P03_CS19	45005	39532	39383	37833	37653	37313
EXP1_MC4_P03_CS20	8938	8375	8343	7783	7563	7170
EXP1_MC4_P03_CS21	349974	345108	343460	334961	334759	334451
EXP1_MC4_P03_CS22	1676	1557	1550	1502	1420	1060
EXP1_MC4_P03_CS23	2912	2800	2789	2734	2720	2708
EXP1_MC4_P03_CS25	1636	1557	1554	1501	1496	1474
EXP1_MC4_P03_CS26	2260	2025	2013	1932	1911	1836
EXP1_MC4_P03_CS27	17763	17241	17183	16841	16744	16441
EXP1_MC4_P03_CS28	1450	1280	1271	1227	1215	1175
EXP1_MC4_P03_CS29	3903	3350	3338	3176	3154	3037
