#xy,coord	row,col	coverslipID
-31,31	0,0	NA
-31,19	0,2	5
-31,6	0,4	11
-31,0	0,5	NA
-31,-6	0,6	18
-31,-19	0,8	24
-31,-31	0,10	NA
-19,31	2,0	1
-19,19	2,2	6
-19,6	2,4	12
-19,0	2,5	NA
-19,-6	2,6	19
-19,-19	2,8	25
-19,-31	2,10	30
-6,31	4,0	2
-6,19	4,2	7
-6,6	4,4	13
-6,0	4,5	NA
-6,-6	4,6	20
-6,-19	4,8	26
-6,-31	4,10	31
0,31	5,0	NA
0,19	5,2	NA
0,6	5,4	NA
0,0	5,5	17
0,-6	5,6	NA
0,-19	5,8	NA
0,-31	5,10	NA
6,31	6,0	3
6,19	6,2	8
6,6	6,4	14
6,0	6,5	NA
6,-6	6,6	21
6,-19	6,8	27
6,-31	6,10	32
19,31	8,0	4
19,19	8,2	9
19,6	8,4	15
19,0	8,5	NA
19,-6	8,6	22
19,-19	8,8	28
19,-31	8,10	33
31,31	10,0	NA
31,19	10,2	10
31,6	10,4	16
31,0	10,5	NA
31,-6	10,6	23
31,-19	10,8	29
31,-31	10,10	NA
