#Experiment	Coverslip.no	NGS.sample	condition	plateNo	mean.NP	plate_repNo
EXP1	1	EXP1_MC2_P01_CS01	0.2MC	1	26.51726708	1
EXP1	2	EXP1_MC2_P01_CS02	0.2MC	1	18.50437445	1
EXP1	3	EXP1_MC2_P01_CS03	0.2MC	1	25.11702085	1
EXP1	4	EXP1_MC2_P01_CS04	0.2MC	1	23.26433862	1
EXP1	5	EXP1_MC2_P01_CS05	0.2MC	1	22.78814844	1
EXP1	6	EXP1_MC2_P01_CS06	0.2MC	1	25.38689687	1
EXP1	7	EXP1_MC2_P01_CS07	0.2MC	1	26.5039007	1
EXP1	8	EXP1_MC2_P01_CS08	0.2MC	1	17.3645318	1
EXP1	9	EXP1_MC2_P01_CS09	0.2MC	1	24.00976134	1
EXP1	10	EXP1_MC2_P01_CS10	0.2MC	1	20.01521134	1
EXP1	11	EXP1_MC2_P01_CS11	0.2MC	1	29.89365776	1
EXP1	12	EXP1_MC2_P01_CS12	0.2MC	1	19.95893783	1
EXP1	13	EXP1_MC2_P01_CS13	0.2MC	1	19.92895795	1
EXP1	14	EXP1_MC2_P01_CS14	0.2MC	1	21.37772648	1
EXP1	15	EXP1_MC2_P01_CS15	0.2MC	1	22.02614327	1
EXP1	16	EXP1_MC2_P01_CS16	0.2MC	1	22.20466024	1
EXP1	17	EXP1_MC2_P01_CS17	0.2MC	1	18.11771769	1
EXP1	18	EXP1_MC2_P01_CS18	0.2MC	1	26.29001227	1
EXP1	19	EXP1_MC2_P01_CS19	0.2MC	1	24.22686701	1
EXP1	20	EXP1_MC2_P01_CS20	0.2MC	1	19.52612796	1
EXP1	21	EXP1_MC2_P01_CS21	0.2MC	1	18.03065206	1
EXP1	22	EXP1_MC2_P01_CS22	0.2MC	1	18.55570409	1
EXP1	23	EXP1_MC2_P01_CS23	0.2MC	1	19.21836413	1
EXP1	24	EXP1_MC2_P01_CS24	0.2MC	1	22.60353516	1
EXP1	25	EXP1_MC2_P01_CS25	0.2MC	1	20.39662623	1
EXP1	26	EXP1_MC2_P01_CS26	0.2MC	1	18.62973298	1
EXP1	27	EXP1_MC2_P01_CS27	0.2MC	1	17.19121655	1
EXP1	28	EXP1_MC2_P01_CS28	0.2MC	1	18.49230693	1
EXP1	29	EXP1_MC2_P01_CS29	0.2MC	1	17.1173802	1
EXP1	30	EXP1_MC2_P01_CS30	0.2MC	1	17.77711767	1
EXP1	31	EXP1_MC2_P01_CS31	0.2MC	1	21.01237419	1
EXP1	32	EXP1_MC2_P01_CS32	0.2MC	1	18.72875079	1
EXP1	33	EXP1_MC2_P01_CS33	0.2MC	1	17.80374959	1
EXP1	1	EXP1_MC2_P04_CS01	0.2MC	4	30.77616878	2
EXP1	2	EXP1_MC2_P04_CS02	0.2MC	4	31.44191725	2
EXP1	3	EXP1_MC2_P04_CS03	0.2MC	4	27.98790742	2
EXP1	4	EXP1_MC2_P04_CS04	0.2MC	4	31.45291073	2
EXP1	5	EXP1_MC2_P04_CS05	0.2MC	4	24.62466348	2
EXP1	6	EXP1_MC2_P04_CS06	0.2MC	4	28.75676096	2
EXP1	7	EXP1_MC2_P04_CS07	0.2MC	4	18.65850924	2
